subject,object,S
Australia,Dollar,Australia spent around a million dollar
Australia,Dollar,Australia and Jetstar Airways flights. The development cost hundreds of millions of dollar
Australia,Dollar,Australia spent around a million dollar
Australia,Dollar,Australia and Jetstar Airways flights. The development cost hundreds of millions of dollar
Australia,Dollar,Australia spent around a million dollar
Australia,Dollar,Australia and Jetstar Airways flights. The development cost hundreds of millions of dollar
Australia,Dollar,Australia spent around a million dollar
Australia,Dollar,Australia and Jetstar Airways flights. The development cost hundreds of millions of dollar
Australia,Dollar,Australia spent around a million dollar
Australia,Dollar,Australia and Jetstar Airways flights. The development cost hundreds of millions of dollar
Australia,Dollar,Australia spent around a million dollar
Australia,Dollar,Australia and Jetstar Airways flights. The development cost hundreds of millions of dollar
Australia,Dollar,Australia spent around a million dollar
Australia,Dollar,Australia and Jetstar Airways flights. The development cost hundreds of millions of dollar
Australia,Dollar,Australia spent around a million dollar
Australia,Dollar,Australia and Jetstar Airways flights. The development cost hundreds of millions of dollar
Australia,Dollar,Australia spent around a million dollar
Australia,Dollar,Australia and Jetstar Airways flights. The development cost hundreds of millions of dollar
Australia,Dollar,Australia spent around a million dollar
Australia,Dollar,Australia and Jetstar Airways flights. The development cost hundreds of millions of dollar
Brazil,Real,Brazil and rule his former empire as regent during his son's minority. Pedro real
Brazil,Real,Brazil and rule his former empire as regent during his son's minority. Pedro real
China,Yuan,"China announced that ""individual (sic) and websites will face fines as high as 100,000 yuan"
China,Yuan,"China announced that ""individual (sic) and websites will face fines as high as 100,000 yuan"
China,Yuan,"China announced that ""individual (sic) and websites will face fines as high as 100,000 yuan"
China,Yuan,"China announced that ""individual (sic) and websites will face fines as high as 100,000 yuan"
Russia,Ruble,"Russia an estimated 12.5 billion rubles, a daily cost of 2.5 billion ruble"
Russia,Ruble,"Russia is a superpower"", citing waning American influence in global affairs, and suggested the ruble"
Russia,Ruble,"Russia paying a large war indemnity (20,000 ruble"
Russia,Ruble,"Russia an estimated 12.5 billion rubles, a daily cost of 2.5 billion ruble"
Russia,Ruble,"Russia is a superpower"", citing waning American influence in global affairs, and suggested the ruble"
Russia,Ruble,"Russia paying a large war indemnity (20,000 ruble"
Russia,Ruble,"Russia an estimated 12.5 billion rubles, a daily cost of 2.5 billion ruble"
Russia,Ruble,"Russia is a superpower"", citing waning American influence in global affairs, and suggested the ruble"
Russia,Ruble,"Russia paying a large war indemnity (20,000 ruble"
Russia,Ruble,"Russia an estimated 12.5 billion rubles, a daily cost of 2.5 billion ruble"
Russia,Ruble,"Russia is a superpower"", citing waning American influence in global affairs, and suggested the ruble"
Russia,Ruble,"Russia paying a large war indemnity (20,000 ruble"
Mexico,Peso,Mexico City is 64.76 peso
Mexico,Peso,Mexico provided 108 million peso
Mexico,Peso,"Mexico granted 3,100,000 peso"
Mexico,Peso,Mexico allocated 381 million peso
Mexico,Peso,Mexico City is 64.76 peso
Mexico,Peso,Mexico provided 108 million peso
Mexico,Peso,"Mexico granted 3,100,000 peso"
Mexico,Peso,Mexico allocated 381 million peso
Mexico,Peso,Mexico City is 64.76 peso
Mexico,Peso,Mexico provided 108 million peso
Mexico,Peso,"Mexico granted 3,100,000 peso"
Mexico,Peso,Mexico allocated 381 million peso
Mexico,Peso,Mexico City is 64.76 peso
Mexico,Peso,Mexico provided 108 million peso
Mexico,Peso,"Mexico granted 3,100,000 peso"
Mexico,Peso,Mexico allocated 381 million peso
